Category,pixel_auroc,pixel_f1,pixel_ap,pixel_aupro,image_auroc,image_f1,image_ap,leaderboard_score
industrial_03,95.37072811610537,24.633274657278502,15.176186435813774,61.82079369199771,80.375,79.81220657276995,88.75106533469221,61.37401640525363
industrial_02,91.2241610807065,20.072870704639655,10.255858408598897,60.8705183145742,59.815384615384616,86.80555555555556,82.09849835286155,56.36228040548106
industrial_01,90.75701047560689,34.53489702517163,29.950899232967497,85.13760824485111,81.06928532460446,91.89189189189189,96.10265294133642,71.17361176905426
mean,92.45063322413958,26.4136807956966,18.460981359126723,69.27630675047433,73.75322331332968,86.16988467340579,88.98407220963006,62.969969526596316
